,word1,index,probability,cumsum
267,Dorážet,1,3.9912193175014965e-05,0.09762522450608695
268,Dosažení,4,0.00015964877270005986,0.097784873278787
269,Doslechnete,1,3.9912193175014965e-05,0.09782478547196202
270,Doslova,1,3.9912193175014965e-05,0.09786469766513704
271,Dospívající,3,0.0001197365795250449,0.09798443424466209
272,Dospějete,1,3.9912193175014965e-05,0.09802434643783711
273,Dost,9,0.0003592097385751347,0.09838355617641224
274,Dostali,1,3.9912193175014965e-05,0.09842346836958726
275,Dostane,3,0.0001197365795250449,0.09854320494911231
276,Dostanete,94,0.0037517461584514068,0.10229495110756372
277,Dostanou,3,0.0001197365795250449,0.10241468768708877
278,Dostat,1,3.9912193175014965e-05,0.10245459988026379
279,Dostatečná,1,3.9912193175014965e-05,0.1024945120734388
280,Dosti,1,3.9912193175014965e-05,0.10253442426661383
281,Dostihlo,1,3.9912193175014965e-05,0.10257433645978885
282,Dostihne,1,3.9912193175014965e-05,0.10261424865296387
283,Dostáváte,1,3.9912193175014965e-05,0.10265416084613889
284,Dosud,1,3.9912193175014965e-05,0.10269407303931391
285,Dosáhli,1,3.9912193175014965e-05,0.10273398523248893
286,Dosáhnete,4,0.00015964877270005986,0.10289363400518899
287,Dotkne,7,0.00027938535222510476,0.10317301935741409
288,Dotknou,2,7.982438635002993e-05,0.10325284374376412
289,Dotknout,1,3.9912193175014965e-05,0.10329275593693914
290,Dotyčnou,1,3.9912193175014965e-05,0.10333266813011416
291,Dotyčná,4,0.00015964877270005986,0.10349231690281421
292,Dotyčný,2,7.982438635002993e-05,0.10357214128916424
293,Dotáhnete,2,7.982438635002993e-05,0.10365196567551427
294,Dotěrného,1,3.9912193175014965e-05,0.10369187786868929
295,Doufají,4,0.00015964877270005986,0.10385152664138934
296,Doufejte,13,0.0005188585112751946,0.10437038515266454
297,Doufá,1,3.9912193175014965e-05,0.10441029734583956
298,Doutnající,1,3.9912193175014965e-05,0.10445020953901459
299,Dovolená,1,3.9912193175014965e-05,0.1044901217321896
300,Dovolíte,1,3.9912193175014965e-05,0.10453003392536463
301,Dovtípíte,1,3.9912193175014965e-05,0.10456994611853965
302,Dozrávají,1,3.9912193175014965e-05,0.10460985831171467
303,Dozvíte,27,0.0010776292157254042,0.10568748752744007
304,Dozvědět,1,3.9912193175014965e-05,0.1057273997206151
305,Dočasným,1,3.9912193175014965e-05,0.10576731191379012
306,Dočasně,1,3.9912193175014965e-05,0.10580722410696514
307,Dočkáte,4,0.00015964877270005986,0.10596687287966519
308,Došlo,1,3.9912193175014965e-05,0.10600678507284021
309,Došlápnete,2,7.982438635002993e-05,0.10608660945919024
310,Drahoty,1,3.9912193175014965e-05,0.10612652165236526
311,Dramatickou,1,3.9912193175014965e-05,0.10616643384554028
312,Dramatická,1,3.9912193175014965e-05,0.1062063460387153
313,Dramatické,3,0.0001197365795250449,0.10632608261824035
314,Drobky,1,3.9912193175014965e-05,0.10636599481141537
315,Drobná,1,3.9912193175014965e-05,0.10640590700459039
316,Drobné,16,0.0006385950908002394,0.10704450209539063
317,Drobný,3,0.0001197365795250449,0.10716423867491567
318,Drobným,1,3.9912193175014965e-05,0.1072041508680907
319,Drsnějších,1,3.9912193175014965e-05,0.10724406306126572
320,Druhá,5,0.00019956096587507485,0.10744362402714079
321,Drzý,1,3.9912193175014965e-05,0.10748353622031581
322,Dráha,46,0.0018359608860506885,0.1093194971063665
323,Dráhy,2,7.982438635002993e-05,0.10939932149271653
324,Dráždit,2,7.982438635002993e-05,0.10947914587906656
325,Držet,3,0.0001197365795250449,0.1095988824585916
326,Držte,46,0.0018359608860506885,0.11143484334464229
327,Držíte,2,7.982438635002993e-05,0.11151466773099232
328,Dusno,1,3.9912193175014965e-05,0.11155457992416734
329,Duševní,2,7.982438635002993e-05,0.11163440431051737
330,Dvakrát,6,0.0002394731590500898,0.11187387746956746
331,Dveře,2,7.982438635002993e-05,0.11195370185591749
332,Dvojnásob,7,0.00027938535222510476,0.1122330872081426
333,Dvojnásobně,1,3.9912193175014965e-05,0.11227299940131762
334,Dvouznačná,1,3.9912193175014965e-05,0.11231291159449264
335,Dá,15,0.0005986828976252245,0.11291159449211786
336,Dále,2,7.982438635002993e-05,0.11299141887846789
337,Dáte,13,0.0005188585112751946,0.11351027738974309
338,Dávejte,54,0.0021552584314508084,0.1156655358211939
